system:index,area,band,class,class_name,.geo
0_0_0,420.1908145710303,classification_2022,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,1413.6080974008473,classification_2022,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,20.7232273694163,classification_2022,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,41.566990326039,classification_2022,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,416.6588654062937,classification_2022,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,900.0821593305734,classification_2022,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,699.1864717312193,classification_2022,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,583.7386928623971,classification_2022,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,132.79332959021642,classification_2022,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,6.417367880493074,classification_2022,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,60.03531904033156,classification_2022,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,1033.2037218174835,classification_2022,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,30.284001432842658,classification_2022,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_13,2.1103524464721692,classification_2022,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_14,0.18849791247558595,classification_2022,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
